"","KCL code","name","ancestry_details","ancestry.x","sex.x","category_name","year.x","pmid","trait_detail","h2.observed","h2.se","h2.z","lambda.GC","mean.chi.2"
"513","RHEU01","Rheumatoid Arthritis 2014","European and East Asian","EUR","both","autoimmune",2014,24390342,"Rheumatoid Arthritis 2014",0.1018,0.013,7.83076923,1.0466,1.1184
"514","RHEU02","Rheumatoid Arthritis 2014 European","European","EUR","both","autoimmune",2014,24390342,"Rheumatoid Arthritis 2014 European",0.1406,0.0176,7.98863636,1.0466,1.1168
"515","RHEU03","Rheumatoid Arthritis 2014 East Asian","Asian","EAS","both","autoimmune",2014,24390342,"Rheumatoid Arthritis 2014 East Asian",NA,NA,NA,NA,NA
"516","RISK01","General risk tolerance (UKB + 10 replication cohorts)","","EUR","both","mental and behavioural",2019,30643258,NA,0.0522,0.0023,22.69565217,NA,NA
"517","RISK02","Automobile speeding propensity (risky behaviour)","","EUR","both","mental and behavioural",2019,30643258,NA,0.0634,0.0025,25.36,NA,NA
"518","RISK03","number of sexual partners (risky behaviour)","","EUR","both","mental and behavioural",2019,30643258,NA,0.0991,0.0037,26.78378378,NA,NA
"519","SCBP01","Schizophrenia+bipolar","European","EUR","both","mental and behavioural",2014,24280982,"Schizophrenia+bipolar",0.3777,0.0214,17.6495327,1.2664,1.3127
"520","SCBP02","Schizophrenia-vs-bipolar","European","EUR","both","mental and behavioural",2014,24280982,"Schizophrenia-vs-bipolar",0.3206,0.0388,8.2628866,1.105,1.1168
"521","SCHI05","","","","","",NA,NA,"",0.299,0.0093,32.15053763,NA,NA
"522","SCLE02","","","","","",NA,NA,"",0.048,0.0263,1.825095057,NA,NA
"523","SCLE03","Multiple sclerosis (SCLE02 with SE column)","European","EUR","both","autoimmune",2011,21833088,NA,0.0493,0.0262,1.881679389,NA,NA
"524","SEXH01","Dehydroepiandrosterone (DHEA)","","EUR","both","metabolism: other",2015,26014426,"Dehydroepiandrosterone (DHEA)",NA,NA,NA,NA,NA
"525","SEXH02","Free androgen index (FAI)","","EUR","both","metabolism: other",2015,26014426,"Free androgen index (FAI)",NA,NA,NA,NA,NA
"526","SEXH03","Follicle-stimulating hormone (FSH)","","EUR","both","metabolism: other",2015,26014426,"Follicle-stimulating hormone (FSH)",NA,NA,NA,NA,NA
"527","SEXH04","Luteinising hormone (LH)","","EUR","both","metabolism: other",2015,26014426,"Luteinising hormone (LH)",NA,NA,NA,NA,NA
"528","SEXH05","Oestradiol","","EUR","both","metabolism: other",2015,26014426,"Oestradiol",NA,NA,NA,NA,NA
"529","SEXH06","Progesterone","","EUR","both","metabolism: other",2015,26014426,"Progesterone",NA,NA,NA,NA,NA
"530","SEXH07","Prolactin","","EUR","both","metabolism: other",2015,26014426,"Prolactin",NA,NA,NA,NA,NA
"531","SEXH08","Sex hormone binding globulin (SHBG)","","EUR","both","metabolism: other",2015,26014426,"Sex hormone binding globulin (SHBG)",NA,NA,NA,NA,NA
"532","SEXH09","Testosterone","","EUR","both","metabolism: other",2015,26014426,"Testosterone",NA,NA,NA,NA,NA
"533","SEXH10","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"534","SLEE01","Sleep duration in children","European","EUR","both","mental and behavioural",2016,27568811,"Sleep duration in children.",0.1387,0.0429,3.23310023,1.0075,1.011
"535","SLEE02","Sleep duration in children, BMI-adjusted","European","EUR","both","mental and behavioural",2016,27568811,"Sleep duration in children, BMI-adjusted.",0.1497,0.0437,3.42562929,1.0075,1.0086
"536","SMOK01","Tobacco: age of smoking initiation","European","EUR","both","mental and behavioural",2010,20418890,"Tobacco: age of smoking initiation",0.0627,0.0185,3.38918919,1.0345,1.0284
"537","SMOK02","Tobacco: smoking cessation (former versus current smokers)","European","EUR","both","mental and behavioural",2010,20418890,"Tobacco: smoking cessation (former versus current smokers)",0.0625,0.0104,6.00961539,1.0466,1.0506
"538","SMOK03","Tobacco: CPD (cigarets per day)","European","EUR","both","mental and behavioural",2010,20418890,"Tobacco: CPD (cigarets per day)",0.0577,0.0134,4.30597015,1.0527,1.0491
"539","SMOK04","Tobacco: smoking initiation (ever versus never been a regular smoker)","European","EUR","both","mental and behavioural",2010,20418890,"Tobacco: smoking initiation (ever versus never been a regular smoker)",0.0753,0.0066,11.4090909,1.0895,1.1034
"540","SMOK05","Heavy versus never smoker in UKBileve","European","EUR","both","mental and behavioural",2017,28166213,"Heavy versus never smoker in UKBileve",0.2626,0.0167,15.7245509,1.2531,1.2946
"541","STRK01","Any Stroke","","MIX","both","circulatory",2018,29531354,NA,0.0128,0.0012,10.66666667,NA,NA
"542","SUBJ01","Subjective well-being: survey questions on life satisfaction, positive affect, or happiness","European","EUR","both","mental and behavioural",2016,27089181,"Subjective well-being: survey questions on life satisfaction, positive affect, or happiness",0.025,0.002,12.5,1.1301,1.1524
"543","TANN01","Tanner Stage: males and females","European","EUR","both","anthropometric",2014,24770850,"Tanner Stage: males and females",0.091,0.0457,1.99124727,0.9957,1.0005
"544","TANN01F","Tanner Stage: females","European","EUR","female","anthropometric",2014,24770850,"Tanner Stage: females",0.0903,0.0764,1.18193717,0.9957,0.9981
"545","TANN01M","Tanner Stage: males","European","EUR","male","anthropometric",2014,24770850,"Tanner Stage: males",0.053,0.1251,0.42366107,1.0016,1.0097
"546","TEMP01","Harm avoidance (HA)","European","EUR","both","mental and behavioural",2012,22832960,"Harm avoidance (HA)",0.066,0.0537,1.22905028,1.0195,1.0275
"547","TEMP02","Novelty seeking (NS)","European","EUR","both","mental and behavioural",2012,22832960,"Novelty seeking (NS)",0.1092,0.0531,2.05649718,1.0436,1.0339
"548","TEMP03","Reward dependence (RD)","European","EUR","both","mental and behavioural",2012,22832960,"Reward dependence (RD)",-0.0058,0.0533,-0.108818,1.0105,1.019
"549","TEMP04","Persistence (P)","European","EUR","both","mental and behavioural",2012,22832960,"Persistence (P)",-0.0022,0.051,-0.0431373,1.0195,1.0233
"550","THAL01","Subcortical brain regions: Thalamus","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Thalamus",0.1424,0.0361,3.94459834,1.0075,1.0152
"551","THIN01","Persistent thin individuals versus controls","","EUR","both","anthropometric",2019,30677029,"Persistent thin individuals versus controls",1.2734,0.1668,7.63429257,1.0802,1.0869
"552","THIN02","Persistent thin individuals vs severe early onset obesity","","EUR","both","anthropometric",2019,30677029,"Persistent thin individuals vs severe early onset obesity",0.1716,0.0419,4.09546539,1.0315,1.0374
"553","THYR01","Autoimmune thyroid disorder: Graves' disease (GD) and Hashimoto's thyroiditis (HT)","European","EUR","both","autoimmune",2012,22922229,"Autoimmune thyroid disorder: Graves' disease (GD) and Hashimoto's thyroiditis (HT)",NA,NA,NA,NA,NA
"554","TIRE01","Self-reported tiredness","European","EUR","both","mental and behavioural",2017,28322280,"Self-reported tiredness",0.0671,0.0058,11.5689655,1.1238,1.1382
"555","TRGL01","Serum total triglycerides","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Serum total triglycerides",0.1152,0.0303,3.8019802,1.0195,1.0445
"556","TRGL03","Triglycerides","European","EUR","both","metabolism: lipids",2010,20686565,"Triglycerides",0.0162,0.0411,0.39416058,0.9986,1.0132
"557","TRGL04","Triglycerides in chylomicrons and largest VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in chylomicrons and largest VLDL particles",0.1355,0.0188,7.20744681,1.0075,1.1502
"558","TRGL05","Triglycerides in IDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in IDL",0.0861,0.0258,3.3372093,1.0165,1.0285
"559","TRGL06","Triglycerides in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in large VLDL",0.1315,0.0336,3.91369048,1.0225,1.0517
"560","TRGL07","Triglycerides in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in medium VLDL",0.1052,0.0271,3.88191882,1.0255,1.0347
"561","TRGL08","Triglycerides in small HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in small HDL",0.0892,0.0282,3.16312057,1.0195,1.0388
"562","TRGL09","Triglycerides in small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in small VLDL",0.07,0.0251,2.78884462,1.0165,1.0265
"563","TRGL10","Triglycerides in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in very large HDL",0.1167,0.0323,3.6130031,1.0255,1.045
"564","TRGL11","Triglycerides in very large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in very large VLDL",0.1325,0.0562,2.35765125,1.0165,1.0508
"565","TRGL12","Triglycerides in very small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Triglycerides in very small VLDL",0.11,0.0267,4.11985019,1.0255,1.0296
"566","TRGL13","Triglycerides","","MIX","both","metabolism: lipids",2013,24097068,NA,0.2141,0.0353,6.065155807,NA,NA
"567","ULCC01","Ulcerative Colitis","European","EUR","both","autoimmune",2015,26192919,"Ulcerative Colitis",0.1418,0.0336,4.2202381,1.0225,1.0515
"568","URAT01","Urate","European","EUR","both","metabolism: other",2013,23263486,"Urate",0.2608,0.0309,8.44012945,1.127,1.1835
"569","URIN01","Albumin","European (+ Finnish)","EUR","both","genitourinary",2016,27005778,"Albumin",0.1267,0.0304,4.16776316,1.0315,1.2382
"570","URIN02","Creatinine","European (+ Finnish)","EUR","both","genitourinary",2016,27005778,"Creatinine",0.0608,0.0242,2.51239669,1.0046,1.0115
"571","URIN03","Urea","European (+ Finnish)","EUR","both","genitourinary",2016,27005778,"Urea",0.1113,0.0223,4.99103139,1.0496,1.0662
"572","URIN05","MA (microalbuminuria)","European","EUR","both","genitourinary",2016,26631737,"MA (microalbuminuria)",0.0204,0.0216,0.94444444,1.0016,1.0029
"573","URIN07","eGFRcrea (serum creatinine)","European","EUR","both","genitourinary",2016,26831199,"eGFRcrea (serum creatinine)",0.0144,0.0077,1.87012987,1.0466,1.0228
"574","URIN08","eGFRcrea_DM (serum creatinine, diabetes mellitus)","European","EUR","both","genitourinary",2016,26831199,"eGFRcrea_DM (serum creatinine, diabetes mellitus)",0.1036,0.0074,14,1.1459,1.2723
"575","URIN09","eGFRcrea_nonDM (serum creatinine, non diabetes mellitus)","European","EUR","both","genitourinary",2016,26831199,"eGFRcrea_nonDM (serum creatinine, non diabetes mellitus)",0.0752,0.0404,1.86138614,0.9986,1.0164
"576","URIN11","eGFRcys (serum cystatin)","European","EUR","both","genitourinary",2016,26831199,"eGFRcys (serum cystatin)",0.1103,0.0082,13.4512195,1.1459,1.2601
"577","URIN13","UACR_DM (urinary albumin-to-creatinine ratio, diabetes mellitus)","European","EUR","both","genitourinary",2016,26631737,"UACR_DM (urinary albumin-to-creatinine ratio, diabetes mellitus)",0.1479,0.0474,3.12025317,1.0466,1.0615
"578","URIN14","UACR_nonDM (urinary albumin-to-creatinine ratio, non diabetes mellitus)","European","EUR","both","genitourinary",2016,26631737,"UACR_nonDM (urinary albumin-to-creatinine ratio, non diabetes mellitus)",-0.0826,0.0633,-1.3048973,0.9986,1.0091
"579","URIN15","UACR (urinary albumin-to-creatinine ratio)","European","EUR","both","genitourinary",2016,26631737,"UACR (urinary albumin-to-creatinine ratio)",0.053,0.0109,4.86238532,1.0466,1.0436
"580","VITD01","25-hydroxyvitamin D levels","European","EUR","both","nervous system",2017,28757204,"25-hydroxyvitamin D levels",0.0455,0.0088,5.17045455,1.0466,1.0457
"581","WAIS01","Waist circumference European","European","EUR","both","anthropometric",2015,25673412,"Waist circumference EU",0.0728,0.0296,2.45945946,1.0075,1.0433
"582","WAIS01F","Waist circumference European female","European","EUR","female","anthropometric",2015,25673412,"Waist circumference EU female",0.1329,0.0063,21.0952381,1.0466,1.1494
"583","WAIS01M","Waist circumference European male","European","EUR","male","anthropometric",2015,25673412,"Waist circumference EU male",0.1531,0.008,19.1375,1.0466,1.0843
"584","WAIS02","Waist circumference all ancestries","All ancestry","MIX","both","anthropometric",2015,25673412,"Waist circumference all ancestries",0.1679,0.0127,13.2204724,0.9986,1.0694
"585","WAIS02F","Waist circumference all ancestries female","All ancestry","MIX","female","anthropometric",2015,25673412,"Waist circumference all ancestries female",0.1334,0.0063,21.1746032,1.0466,1.1523
"586","WAIS02M","Waist circumference all ancestries male","All ancestry","MIX","male","anthropometric",2015,25673412,"Waist circumference all ancestries male",0.1544,0.008,19.3,1.0466,1.0856
"587","WAIS03","Waist circumference European BMI-adjusted","European","EUR","both","anthropometric",2015,25673412,"Waist circumference EU BMI-adjusted",0.1667,0.0127,13.1259843,0.9986,1.0687
"588","WAIS03F","Waist circumference European BMI-adjusted female","European","EUR","female","anthropometric",2015,25673412,"Waist circumference EU female BMI-adjusted",0.1045,0.006,17.4166667,1.0466,1.1415
"589","WAIS03M","Waist circumference European BMI-adjusted male","European","EUR","male","anthropometric",2015,25673412,"Waist circumference EU male BMI-adjusted",0.1096,0.0083,13.2048193,1.0466,1.0855
"590","WAIS04","Waist circumference all ancestries BMI-adjusted","All ancestry","MIX","both","anthropometric",2015,25673412,"Waist circumference all ancestries BMI-adjusted",0.1699,0.0112,15.1696429,1.0466,1.0876
"591","WAIS04F","Waist circumference all ancestries BMI-adjusted female","All ancestry","MIX","female","anthropometric",2015,25673412,"Waist circumference all ancestries female BMI-adjusted",0.1048,0.006,17.4666667,1.0466,1.1428
"592","WAIS04M","Waist circumference all ancestries BMI-adjusted male","All ancestry","MIX","male","anthropometric",2015,25673412,"Waist circumference all ancestries male BMI-adjusted",0.1103,0.0083,13.2891566,1.0466,1.0858
"593","WEIG01","Birth weight","European","EUR","both","anthropometric",2013,23202124,"Birth weight",0.1668,0.0111,15.027027,1.0466,1.0843
"594","WEIG02","Birth weight European","European","EUR","both","anthropometric",2016,27680694,"Birth weight EU",0.1134,0.0183,6.19672131,1.0466,1.062
"595","WEIG03","Birth weight all ancestries","All ancestry","MIX","both","anthropometric",2016,27680694,"Birth weight all ancestries",0.1021,0.0065,15.7076923,1.2005,1.3104
"596","WEIG04F","Weight EU female","European","EUR","female","anthropometric",2013,23754948,"Weight EU female",0.0973,0.0061,15.9508197,1.2005,1.3056
"597","WEIG04M","Weight EU male","European","EUR","male","anthropometric",2013,23754948,"Weight EU male",0.1868,0.01,18.68,0.9986,1.072
"598","WEIG05F","Offspring birth weight","European","EUR","female","anthropometric",2018,29309628,"Offspring birth weight",0.1909,0.0123,15.5203252,0.9986,1.0819
"599","WHIP01","Extreme Waist-Hip Ratio","European","EUR","both","anthropometric",2013,23563607,"Extreme Waist-Hip Ratio",0.0834,0.0085,9.81176471,1.0957,1.1165
"600","WHIP02","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"601","WHIP03","Waist-hip ratio EUR","European","EUR","both","anthropometric",2015,25673412,"Waist-hip ratio EUR",0.0977,0.0053,18.4339623,1.0466,1.0995
"602","WHIP03F","Waist-hip ratio EUR female","European","EUR","female","anthropometric",2015,25673412,"Waist-hip ratio EUR female",0.1111,0.0085,13.0705882,1.0466,1.0724
"603","WHIP03M","Waist-hip ratio EUR male","European","EUR","male","anthropometric",2015,25673412,"Waist-hip ratio EUR male",0.1353,0.0102,13.2647059,1.0466,1.0488
"604","WHIP04","Waist-hip ratio all ancestries","All ancestry","MIX","both","anthropometric",2015,25673412,"Waist-hip ratio all ancestries",0.0981,0.0053,18.509434,1.0466,1.0992
"605","WHIP04F","Waist-hip ratio all ancestries female","All ancestry","MIX","female","anthropometric",2015,25673412,"Waist-hip ratio all ancestries female",0.1118,0.0084,13.3095238,1.0466,1.0711
"606","WHIP04M","Waist-hip ratio all ancestries male","All ancestry","MIX","male","anthropometric",2015,25673412,"Waist-hip ratio all ancestries male",0.1356,0.01,13.56,1.0466,1.047
"607","WHIP05","Waist-hip ratio EUR BMI-adjusted","European","EUR","both","anthropometric",2015,25673412,"Waist-hip ratio EUR BMI-adjusted",0.0881,0.0061,14.442623,1.0466,1.098
"608","WHIP05F","Waist-hip ratio EUR BMI-adjusted female","European","EUR","female","anthropometric",2015,25673412,"Waist-hip ratio EUR female BMI-adjusted",0.1093,0.0104,10.5096154,0.9986,1.0867
"609","WHIP05M","Waist-hip ratio EUR BMI-adjusted male","European","EUR","male","anthropometric",2015,25673412,"Waist-hip ratio EUR male BMI-adjusted",0.1237,0.01,12.37,0.9986,1.0498
"610","WHIP06","Waist-hip ratio all ancestries BMI-adjusted","All ancestry","MIX","both","anthropometric",2015,25673412,"Waist-hip ratio all ancestries BMI-adjusted",0.0885,0.0061,14.5081967,1.0466,1.0976
"611","WHIP06F","Waist-hip ratio all ancestries BMI-adjusted female","All ancestry","MIX","female","anthropometric",2015,25673412,"Waist-hip ratio all ancestries female BMI-adjusted",0.1099,0.0104,10.5673077,0.9986,1.086
"612","WHIP06M","Waist-hip ratio all ancestries BMI-adjusted male","All ancestry","MIX","male","anthropometric",2015,25673412,"Waist-hip ratio all ancestries male BMI-adjusted",0.125,0.01,12.5,0.9986,1.0497
"613","tourettes_syndrome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","bipolar_disorder_type1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","bipolar_disorder_type2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","PTSD_severity MVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","PTSD case/control MVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","generalised_anxiety_disorder_symptoms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","age_smoking_initiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","smoking_initiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","smoking_cessation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","cigarettes_per_day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","cannabis_initiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","cannabis_use_disorder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","opioid_dependence_stringent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","change_fasting_glucose_over_time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","fasting_glucose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","fasting_glucose_male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","fasting_glucose_female (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","fasting_insulin (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","fasting_insulin_male (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","fasting_insulin_female (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","fasting_glucose_bmi_adjusted (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","2hGlu_BMI adjused (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","HbA1c (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","fasting_insulin_bmi_adjusted (MAGIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","number_children_ever_born",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","childlessness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","lonelieness_meta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","nicotine_dependence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","Treatment resistant depression (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","AN/OCD (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Age at natural menopause (ANM) (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Anhedonia (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Problematic alcohol use (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Externalising behaviour (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Coronary artery disease (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Adiponectin (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Proinsulin (BMI adjusted) (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Proinsulin (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651","Insulin-stimulated glucose uptake (*to add to repo*)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
